frwirebond_no,serial PRIMARY KEY,,
module_name,TEXT,fk_identifier,
list_grounded_cells,SMALLINT[],,
list_unbonded_cells,SMALLINT[],,
cell_no,SMALLINT[],,
bond_count_for_cell,SMALLINT[],,
bond_type,CHAR[],,
wedge_id,TEXT,,
spool_batch,TEXT,,
wb_fr_marked_done,BOOLEAN DEFAULT FALSE,,
temp_c,TEXT,,
rel_hum,TEXT,,
date_bond,DATE,,
time_bond,TIME,,
technician,TEXT,,
comment,TEXT,,
module_no,INT,fk_mod_frontwire,module_info
iteration,INT,,
xml_gen_datetime,TIMESTAMP,,
xml_upload_success,BOOLEAN,,
batch_no,INT,,