module_no,serial PRIMARY KEY,,
module_name,TEXT,,
geometry,TEXT,,
resolution,TEXT,,
bp_material,TEXT,,
sen_thickness,REAL,,
roc_version,TEXT,,
assembled,DATE,,
inspected,DATE,,
wb_front,DATE,,
wb_back,DATE,,
encap_front,DATE,,
encap_back,DATE,,
inspect_sec,DATE,,
test_iv,DATE,,
test_ped,DATE,,
list_ground_pad,SMALLINT[],,
packed_datetime,TIMESTAMP,,
institution,TEXT,,
comment,TEXT,,
xml_gen_datetime,TIMESTAMP,,
xml_upload_success,BOOLEAN,,
hxb_name,TEXT,,
bp_name,TEXT,,
sen_name,TEXT,,
proto_name,TEXT,,
shipped_datetime,TIMESTAMP,,