mod_qc_no,serial PRIMARY KEY,,
module_no,INT,fk_mod_qc,module_info
module_name,TEXT,fk_identifier,
final_grade,TEXT,,
final_grade_def,TEXT,,
comments_all,TEXT,,
proto_flatness,REAL,,
proto_avg_thickness,REAL,,
proto_max_thickness,REAL,,
proto_x_offset,REAL,,
proto_y_offset,REAL,,
proto_ang_offset,REAL,,
proto_grade,TEXT,,
proto_grade_def,TEXT,,
module_flatness,REAL,,
module_avg_thickness,REAL,,
module_max_thickness,REAL,,
module_x_offset,REAL,,
module_y_offset,REAL,,
module_ang_offset,REAL,,
module_grade,TEXT,,
module_grade_def,TEXT,,
module_weight,REAL,,
count_back_unbonded,SMALLINT,,
front_pull_avg,REAL,,
front_pull_std,REAL,,
list_cells_unbonded,SMALLINT[],,
list_cells_grounded,SMALLINT[],,
count_bad_cells,SMALLINT,,
list_noisy_cells,SMALLINT[],,
list_dead_cells,SMALLINT[],,
iv_grade,TEXT,,
iv_grade_def,TEXT,,
readout_grade,TEXT,,
readout_grade_def,TEXT,,
i_ratio_ref_b_over_a,REAL,,
ref_volt_a,REAL,,
ref_volt_b,REAL,,
i_at_ref_a,REAL,,
iteration,INT,,
xml_gen_datetime,TIMESTAMP,,
xml_upload_success,BOOLEAN,,
batch_no,INT,,
i_at_600v,,